City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Kalemie,CD,-5.9475,29.1947,71.33,87,100,2.91,light rain
335,South Venice,US,27.0531,-82.4243,80.01,73,20,10.36,few clouds
336,Sao Filipe,CV,14.8961,-24.4956,73.45,73,0,16.96,clear sky
337,Pozarevac,RS,44.6153,21.1825,39.99,87,90,2.3,overcast clouds
338,Pauini,BR,-7.7136,-66.9764,89.78,52,88,2.3,overcast clouds
339,Heishan,CN,41.6892,122.1128,44.19,68,18,13.56,few clouds
340,Leh,IN,34.1667,77.5833,35.28,73,87,4.56,light snow
341,Ayan,RU,56.45,138.1667,16.75,77,37,9.69,scattered clouds
342,Komsomolskiy,UZ,40.4272,71.7189,60.8,51,100,2.3,overcast clouds
343,Tessalit,ML,20.1986,1.0114,93.2,7,69,7.78,broken clouds
344,Ndele,CF,8.4109,20.6473,81.63,10,5,3.69,clear sky
345,Praia Da Vitoria,PT,38.7333,-27.0667,68.0,68,20,3.27,few clouds
346,Waipawa,NZ,-41.4122,175.5153,60.8,67,2,11.5,clear sky
